版本\事件,CIPV_VEH_LOST,CIPV_POS_EXCEPTION_VEH,CIPV_POS_SHIFT_DIFF_VEH,LARGE_VEHICLE_POS_EXCEPTION,LARGE_VEHICLE_POS_SHIFT_DIFF,LARGE_VEHICLE_THETA_DIFF,NarrowCIPV,RadarAssignFusionMining,RadarTrackFusionMining,UnderlyingVelocityFusionMining,VRUVelocityFusionMining,RadarPositionFusionMining
8.3.40.26,10,0,0,1,1,0,7,1,0,3,1,1
8.3.40.28,0,0,0,0,0,0,1,0,0,0,0,0
8.3.40.33,5,1,2,1,4,0,16,0,0,0,3,0
8.3.40.34,0,0,0,0,1,0,0,0,0,1,0,0
8.3.40.35,0,0,2,0,3,0,1,0,0,0,0,2
8.3.40.36,26,0,0,0,10,0,16,0,0,5,3,0
8.3.40.40,4,0,0,0,0,0,3,0,0,0,0,0
8.4.37.126,21,3,11,0,2,3,0,4,5,4,11,9
8.4.37.129,0,0,0,0,0,0,0,0,0,0,2,0
8.4.39.72,1,0,0,0,0,0,0,0,0,0,0,0
8.4.39.77,6,0,0,0,4,0,0,0,0,3,12,3
8.4.39.78,0,0,0,0,0,0,0,2,0,0,1,2
8.4.39.79,0,0,1,0,0,0,0,0,0,0,0,0
8.5.39.82,0,0,0,0,0,0,0,0,0,0,1,0
8.5.39.91,0,0,0,0,0,0,0,2,1,0,0,0
